"date","state","sector","mode","installed_capacity"
"21-12-2023","Manipur","CENTRAL SECTOR","Hydro","105"
"21-12-2023","Manipur","CENTRAL SECTOR","RES","NA"
"21-12-2023","Meghalaya","STATE SECTOR","Thermal","NA"
"21-12-2023","Meghalaya","STATE SECTOR","Nuclear","NA"
"21-12-2023","Meghalaya","STATE SECTOR","Hydro","322"
"21-12-2023","Meghalaya","STATE SECTOR","RES","55.03"
"21-12-2023","Meghalaya","PVT SECTOR","Thermal","NA"
"21-12-2023","Meghalaya","PVT SECTOR","Nuclear","NA"
"21-12-2023","Meghalaya","PVT SECTOR","Hydro","NA"
"21-12-2023","Meghalaya","PVT SECTOR","RES","17.99"
"21-12-2023","Mizoram","STATE SECTOR","Thermal","NA"
"21-12-2023","Mizoram","STATE SECTOR","Nuclear","NA"
"21-12-2023","Mizoram","STATE SECTOR","Hydro","NA"
"21-12-2023","Mizoram","STATE SECTOR","RES","45.47"
"21-12-2023","Mizoram","PVT SECTOR","Thermal","NA"
"21-12-2023","Mizoram","PVT SECTOR","Nuclear","NA"
"21-12-2023","Mizoram","PVT SECTOR","Hydro","NA"
"21-12-2023","Mizoram","PVT SECTOR","RES","30.43"
"21-12-2023","Mizoram","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Mizoram","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Mizoram","CENTRAL SECTOR","Hydro","60"
"21-12-2023","Mizoram","CENTRAL SECTOR","RES","NA"
"21-12-2023","Nagaland","STATE SECTOR","Thermal","NA"
"21-12-2023","Nagaland","STATE SECTOR","Nuclear","NA"
"21-12-2023","Nagaland","STATE SECTOR","Hydro","NA"
"21-12-2023","Nagaland","STATE SECTOR","RES","32.67"
"21-12-2023","Nagaland","PVT SECTOR","Thermal","NA"
"21-12-2023","Nagaland","PVT SECTOR","Nuclear","NA"
"21-12-2023","Nagaland","PVT SECTOR","Hydro","NA"
"21-12-2023","Nagaland","PVT SECTOR","RES","3.17"
"21-12-2023","Nagaland","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Nagaland","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Nagaland","CENTRAL SECTOR","Hydro","75"
"21-12-2023","Nagaland","CENTRAL SECTOR","RES","NA"
"21-12-2023","Odisha","STATE SECTOR","Thermal","1740"
